post,name,odds,beyer,beyer_over_100,dosage,dosage_score,run_style,run_style_score,pace_fit,trainer_dw,trainer_score,jockey_dw,jockey_score,win_rate,itm_rate,stamina_test,post_wp,post_itm,pedigree_dist,expert_score,post_draw_adj,sire_won,beyer_norm,trainer_score_norm,jockey_score_norm,win_rate_norm,itm_rate_norm,post_wp_norm,post_itm_norm
1,Renegade,4.5,97,0,3.0,6.666666666666666,4,7.0,6.0,2,8.9,0,3.0,0.4,1.0,1,8.3,18.8,8.5,7.2,-1.5,0,6.4,2.4159021406727827,0.0,4.0,10.0,7.904761904761905,5.418502202643173
2,Albus,30.0,95,0,2.6,7.333333333333333,3,8.0,6.5,0,1.9,0,3.0,0.5,0.75,1,7.3,27.1,5.0,4.8,0.0,0,5.6000000000000005,0.2752293577981651,0.0,5.0,5.833333333333334,6.9523809523809526,9.07488986784141
3,Intrepido,50.0,94,0,3.4,6.0,2,8.5,6.5,0,1.4,0,3.0,0.3333333333333333,0.5,1,6.3,22.9,5.0,4.0,0.0,0,5.2,0.1223241590214067,0.0,3.333333333333333,1.6666666666666663,6.0,7.224669603524228
4,Litmus Test,30.0,96,0,3.36,6.066666666666666,3,8.0,7.0,6,20.230769230769234,0,3.0,0.2857142857142857,0.5714285714285714,1,5.2,15.6,7.0,6.0,0.0,1,6.0,5.8809691837214775,0.0,2.8571428571428568,2.8571428571428563,4.9523809523809526,4.008810572687224
5,Commandment,6.5,104,1,3.44,5.933333333333334,3,8.0,8.5,1,9.1,1,5.0,0.8,0.8,1,10.4,22.9,8.5,8.8,-0.5,0,9.200000000000001,2.477064220183486,0.625,8.0,6.666666666666668,9.904761904761905,7.224669603524228
6,Danon Bourbon,20.0,94,0,1.86,8.566666666666666,3,8.0,6.0,0,1.0,0,3.0,1.0,1.0,1,2.1,13.5,5.5,5.2,0.0,0,5.2,0.0,0.0,10.0,10.0,2.0,3.0837004405286343
7,So Happy,6.0,98,0,7.0,0.0,3,8.0,7.0,0,1.4,2,19.0,0.75,1.0,0,8.4,22.1,3.0,6.2,0.0,1,6.800000000000001,0.1223241590214067,5.0,7.5,10.0,8.0,6.872246696035243
8,The Puma,10.0,99,0,2.47,7.549999999999999,4,7.0,8.5,1,33.7,1,15.0,0.25,1.0,1,9.5,20.0,8.5,7.8,0.0,0,7.199999999999999,10.0,3.75,2.5,10.0,9.047619047619047,5.9471365638766525
9,Wonder Dean,30.0,95,0,2.11,8.15,3,8.0,7.0,0,1.0,0,3.0,0.3333333333333333,0.6666666666666666,1,4.3,19.6,8.0,4.5,0.0,0,5.6000000000000005,0.0,0.0,3.333333333333333,4.444444444444444,4.095238095238095,5.7709251101321595
10,Incredibolt,20.0,91,0,3.0,6.666666666666666,3,8.0,6.0,0,1.4,0,3.0,0.6,0.6,1,10.1,29.2,5.5,4.5,0.0,0,4.0,0.1223241590214067,0.0,6.0,3.3333333333333326,9.619047619047619,10.0
11,Chief Wallabee,8.0,93,0,1.92,8.466666666666667,2,8.5,7.5,1,23.4,1,35.0,0.3333333333333333,1.0,1,2.4,14.1,9.0,6.8,0.0,0,4.8,6.850152905198775,10.0,3.333333333333333,10.0,2.2857142857142856,3.3480176211453743
12,Potente,20.0,96,0,3.44,5.933333333333334,1,4.0,2.5,6,20.230769230769234,0,3.0,0.6666666666666666,1.0,1,3.7,12.3,7.0,5.5,0.0,0,6.0,5.8809691837214775,0.0,6.666666666666666,10.0,3.523809523809524,2.5550660792951545
13,Emerging Market,15.0,98,0,2.2,8.0,3,8.0,8.0,0,2.5,1,10.0,1.0,1.0,1,6.3,21.5,8.0,7.0,1.5,0,6.800000000000001,0.4587155963302752,2.1875,10.0,10.0,6.0,6.607929515418503
14,Pavlovian,30.0,93,0,1.29,9.516666666666666,1,4.0,3.0,2,24.5,0,3.0,0.2,0.7,1,2.9,20.3,5.5,3.5,0.0,0,4.8,7.186544342507645,0.0,2.0,4.999999999999999,2.761904761904762,6.079295154185022
15,Six Speed,50.0,91,0,5.0,3.333333333333333,1,4.0,2.5,0,1.4,1,20.0,0.5,0.8333333333333334,0,9.4,14.1,6.5,3.8,0.0,0,4.0,0.1223241590214067,5.3125,5.0,7.222222222222223,8.952380952380953,3.3480176211453743
16,Further Ado,6.5,106,1,2.08,8.2,2,8.5,9.0,1,9.1,3,20.25,0.5,0.8333333333333334,1,9.4,20.8,9.5,9.2,0.0,0,10.0,2.477064220183486,5.390625,5.0,7.222222222222223,8.952380952380953,6.299559471365638
17,Golden Tempo,30.0,90,0,3.0,6.666666666666666,5,5.5,5.5,0,1.6,0,3.0,0.5,1.0,1,0.0,6.5,8.0,3.5,-2.0,0,3.5999999999999996,0.1834862385321101,0.0,5.0,10.0,0.0,0.0
18,Great White,50.0,94,0,3.0,6.666666666666666,3,8.0,5.5,0,1.0,0,3.0,0.5,0.5,1,5.3,15.8,3.0,3.0,0.0,0,5.2,0.0,0.0,5.0,1.6666666666666663,5.0476190476190474,4.096916299559472
19,Ocelli,50.0,81,0,1.73,8.783333333333333,5,5.5,5.0,0,1.0,0,3.0,0.0,0.6666666666666666,1,3.1,9.4,5.0,2.0,0.0,0,0.0,0.0,0.0,0.0,4.444444444444444,2.9523809523809526,1.2775330396475773
20,Robusta,50.0,93,0,3.44,5.933333333333334,1,4.0,3.0,2,24.5,0,3.0,0.2,0.4,1,10.5,15.8,7.0,2.5,0.0,0,4.8,7.186544342507645,0.0,2.0,0.0,10.0,4.096916299559472
